From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Jury Rank,Televote Rank,Jury Points,Televote Points
Ukraine,Italy,20,23,21,16,21,21,17,,
Ukraine,Israel,3,5,6,3,7,5,16,6,
Ukraine,Bulgaria,12,9,10,15,5,10,9,1,2
Ukraine,Sweden,10,7,9,8,8,7,10,4,1
Ukraine,Germany,22,24,23,23,24,24,20,,
Ukraine,France,14,11,22,13,10,13,14,,
Ukraine,Poland,6,12,16,9,9,11,3,,8
Ukraine,Australia,7,6,8,11,2,6,7,5,4
Ukraine,Cyprus,23,25,25,25,25,25,11,,
Ukraine,Serbia,17,13,18,14,20,17,25,,
Ukraine,Lithuania,1,1,2,2,3,1,8,12,3
Ukraine,Croatia,25,22,17,18,22,23,24,,
Ukraine,Russia,21,21,24,24,12,22,1,,12
Ukraine,Spain,11,14,12,20,23,16,15,,
Ukraine,Latvia,4,2,4,6,4,3,6,8,5
Ukraine,Malta,18,17,20,22,19,20,19,,
Ukraine,Georgia,8,8,11,5,15,8,5,3,6
Ukraine,Austria,19,19,15,19,16,19,12,,
Ukraine,United Kingdom,24,18,19,10,13,18,23,,
Ukraine,Armenia,13,20,7,21,17,15,4,,7
United Kingdom,Belgium,14,3,20,10,7,11,14,,
United Kingdom,Czech Republic,12,17,17,15,24,19,22,,
United Kingdom,The Netherlands,8,19,15,8,17,14,12,,
United Kingdom,Azerbaijan,25,23,25,21,22,25,23,,
United Kingdom,Hungary,4,14,23,20,15,16,16,,
United Kingdom,Italy,13,20,18,22,25,22,20,,
United Kingdom,Israel,5,5,14,9,19,8,17,3,
United Kingdom,Bulgaria,10,4,21,3,9,6,3,5,8
United Kingdom,Sweden,24,25,9,25,23,24,10,,1
United Kingdom,Germany,19,24,19,23,14,23,21,,
United Kingdom,France,6,10,5,7,11,5,11,6,
United Kingdom,Poland,16,21,24,14,8,18,2,,10
United Kingdom,Australia,3,6,6,4,12,3,5,8,6
United Kingdom,Cyprus,1,7,2,11,16,4,9,7,2
United Kingdom,Serbia,9,11,16,6,10,9,24,2,
United Kingdom,Lithuania,7,8,13,19,3,7,1,4,12
United Kingdom,Croatia,21,12,10,5,6,10,25,1,
United Kingdom,Russia,20,16,11,13,2,13,4,,7
United Kingdom,Spain,17,18,22,16,21,21,7,,4
United Kingdom,Latvia,22,9,4,12,20,15,8,,3
United Kingdom,Ukraine,11,1,1,1,5,2,6,10,5
United Kingdom,Malta,18,13,8,17,4,12,15,,
United Kingdom,Georgia,2,2,3,2,1,1,19,12,
United Kingdom,Austria,23,15,12,18,13,17,13,,
United Kingdom,Armenia,15,22,7,24,18,20,18,,
